493.54	474.27	408.72	-166.89	33.72	166.38	-247.176 -38.5001 266.905 0.28768 0.431134 0.769916 0.372281 
604.56	318.81	365.03	149.99	28.06	164.57	-289.235 177.571 210.471 0.445266 0.656151 0.555046 0.251253 
469.91	-128.03	408.67	89.15	23.61	157.28	-34.9349 605.926 241.109 0.529736 0.823796 0.196368 -0.046694 
344.85	-169.52	378.81	72.53	23.56	163.9	121.305 616.109 221.542 0.529445 0.84282 0.02772 -0.092597 
272.59	-110.18	512.98	56.28	34.47	157.81	205.119 533.496 369.301 0.421838 0.892391 -0.058134 -0.149369 
300.44	24.16	568.9	94.24	39.68	98.02	30.9944 474.379 409.987 0.290307 0.677719 0.642048 -0.210221 
325.92	260.59	613	95.72	61.34	96.42	-2.10521 236.297 500.586 0.148761 0.697701 0.694155 -0.096088 
329.21	495.81	572.7	140.49	68.32	130.36	-37.827 -18.3376 475.857 0.139483 0.626047 0.765186 0.055683 
323.73	624.93	494.75	-144.16	61.44	174.62	-77.3526 -218.584 407.62 0.063856 0.379888 0.888409 0.249673 
15.38	535.33	484.33	-73.99	41.96	161.67	298.004 -275.991 358.03 -0.053754 -0.302044 0.867688 0.391148 
-133.16	437.75	336.15	-45.23	30.92	176.66	492.345 -187.753 212.477 -0.229267 -0.390059 0.777052 0.437586 
27.57	358.33	569.22	-44.55	41.93	145.9	368.648 -101.067 431.832 -0.090013 -0.615527 0.694706 0.36112 
194.15	393.29	569.19	-87.52	42.39	131.79	132.53 -136.304 421.132 0.097753 -0.422036 0.833309 0.343403 
